    calendar_friday	금요일	FRIDAY	星期五	星期五	金曜日	ПЯТНИЦА	vendredi 	Viernes 	
    calendar_saturday	토요일	SATURDAY	星期六	星期六	金曜日	СУББОТА	samedi 	Sábado 	
    calendar_sunday	일요일	SUNDAY	星期日	星期日	日曜日	ВОСКРЕСЕНЬЕ	dimanche	Domingo 	
									
// Flickr 	// Flickr 	// Flickr 	// Flickr 	// Flickr 	// Flickr 	// Flickr 	// Flickr 	// Flickr 	
    flickr_not_available_flickr_url	검색 조건과 일치하는 내용을 찾을 수 없습니다	No Results Found	無此搜尋結果	无此关键词	このキーワードに一致する結果がありません。	Результаты не найдены	Aucun résultat trouvé 	No se encontraron resultados 	
    flickr_search_images	이미지 검색	Search for Image	搜尋圖片	搜索图片	イメージを検索	Поиск изображений	Rechercher une image 	Buscar imagen 	
    flickr_use_gray_scale	흑백효과 사용	Use Grayscale	使用灰階	使用灰度	グレースケールを使用	Использовать серый оттенок	utilisation des niveaux de gris 	uso de escala de grises 	
    flickr_save_to_library_guide	사진을 라이브러리에 저장합니다	This photo will be saved in your library	此圖片將儲存於相簿中	照片将会保存于相册	写真をライブラリに保存します。	Это фото будет сохранена в вашей библиотеке	Cette photo sera enregistrée dans votre bibliothèque 	Esta foto se guardará en la biblioteca 	
    flickr_photo_saved	사진이 저장되었습니다	The Photo Saved	圖片已儲存	照片已保存	写真を保存しました。	Это фото сохранено	La photo enregistrée 	La foto guardada 	
    flickr_normal_quality	일반화질	Standard	普通	普通	標準画質	Стандартный	standard 	Estándar 	
    flickr_high_quality	고화질	High Resolution	高清晰	高清晰	高画質	Высокое качество	haute Résolution 	alta Resolución 	
    flickr_error_access_server	플리커 서버에 접속할 수 없습니다	Error in access to flickr server	在Flickr上無法連接到服務器	在Flickr上无法连接到服务器	フリッカーのサーバーに接続できません	Error in access to flickr server	Erreur dans l'accès au serveur flickr	Error en el acceso al servidor de parpadeo  	
									
// Date Countdown 	// Date Countdown 	// Date Countdown 	// Date Countdown 	// Date Countdown 	// Date Countdown 	// Date Countdown 	// Date Countdown 	// Date Countdown 	
    date_countdown_date	날짜	Date	日期	日期	日付	дата	date 	Fecha 	
    date_countdown_countdown	계산	Countdown	倒數	倒数	計算	обратного отсчета	compte à rebours 	Cuenta atrás 	
    date_countdown_new_year	새해	New Year	元旦	元旦	元日	Новый год	nouvelle année 	Año Nuevo 	
    date_countdown_write_a_title	이름	Label	標籤	标签	ラベル(名)	Пометка	étiquette 	Etiqueta 	
    date_countdown_create_countdown	기념일을 설정해 주세요	Create a Countdown	建立倒數日	创建倒数日	基準日設定	Создать обратный отсчет	Créez un compte à rebours 	Crear una cuenta atrás 	
									
// Weather 	// Weather 	// Weather 	// Weather 	// Weather 	// Weather 	// Weather 	// Weather 	// Weather 	
    weather_temperature_unit	온도 단위	Temperature Unit	溫度單位	温度单位	温度単位	Единицы измерения температуры	Unité de température 	Unidad de temperatura 	
    weather_use_current_location	현재 위치 사용	Use Your Current Location	使用目前位置	使用您的当前位置	現在の位置情報を利用します。	Использовать текущее местоположение	Utilisez votre position actuelle 	Utilizar la ubicación actual 	
    weather_current_location	현재 위치	Current Location	目前位置	城市搜索(英文)	現存地	Текущее местоположение	Situation actuelle 	Ubicación actual 	
    weather_search_city	도시 검색 (영어)	Search for City (in English)	城市搜索（英文）	当前位置	都市検索(英語で)	Поиск города (по-английски)	Recherche de ville (en anglais) 	Buscar Ciudad(en Inglés) 	
    display_local_time	현지 시간 표시	Display Local Time	顯示本地時間	显示本地时间	現地時間を表示する	Отображения местного времени	Afficher Heure locale 	Mostrar Hora Local 	
    weather_choose_your_city	도시를 선택하세요	Choose your City	選擇一個城市	选择一个城市	都市をご選択ください。	Выбор города	Choisissez votre ville	Elige tu ciudad 	
									
// World Clock 	// World Clock 	// World Clock 	// World Clock 	// World Clock 	// World Clock 	// World Clock 	// World Clock 	// World Clock 	
    world_clock_clock_type_text	시계 타입	Clock Type	時鐘形式	时钟显示	時計タイプ	Тип часов	Type d'horloge	Tipo de reloj 	
    world_clock_digital	디지털	Digital	數字	数字	デジタル	Цифровой	numérique	digital 	
    world_clock_analog	아날로그	Analog	指針	指针	アナログ	Аналоговый	analogique	analógico 	
    world_clock_use_24_hour_format	24시간제 사용	Use 24-hour format	用24小時製	用24小时制	24時間形式を使用	Использовать 24-часовой формат	Utilisez le format 24 heures	Utilice el formato de 24 horas 	
    world_clock_today	오늘	Today	今天	今天	今日	Сегодня	aujourd'hui	Hoy 	
    world_clock_tomorrow	내일	Tomorrow	明天	明天	明日	Завтра	demain	Mañana 	
    world_clock_yesterday	어제	Yesterday	昨天	昨天	昨日	Вчера	hier	Ayer 	
									
// Exchange Rate 	// Exchange Rate 	// Exchange Rate 	// Exchange Rate 	// Exchange Rate 	// Exchange Rate 	// Exchange Rate 	// Exchange Rate 	// Exchange Rate 	
    exchange_rate_switch_countries	기준 환율 변경	Swap currencies	交換貨幣	交换货币	基準為替レートを変更	Обменять валюту	Les monnaies	monedas de swap 	
    exchange_rate_main_currencies	주요 환율	Top currencies	常用貨幣	常用货币	主な為替レート	Основные валюты	Meilleurs devises	Top monedas 	
    exchange_rate_all_currencies	모든 환율	All currencies	全部貨幣	所有货币	すべての為替レート	Все валюты	toutes les devises	todas las divisas 	
									
// Memo 	// Memo 	// Memo 	// Memo 	// Memo 	// Memo 	// Memo 	// Memo 	// Memo 	
    memo_write_here	메모를 입력하세요	Write a memo	建立備忘	输入备忘录	ここにメモを書いてください。	Написать записку	Donnez une note	Escribir una nota 	
    memo_write_here_modal	이곳에 입력하세요	Write here	從這裡開始寫	由此输入	ここに書いてください。	Писать здесь	Ecrivez ici	Escribe aquí 	
    memo_end_of_page_halt	입력 범위 초과입니다	End-of-Page	頁尾	结尾	入力範囲を超え	Страницы	Fin de page	Fin de página 	
									
// Quotes 	// Quotes 	// Quotes 	// Quotes 	// Quotes 	// Quotes 	// Quotes 	// Quotes 	// Quotes 	
    quotes_copy	복사	Copy	拷貝	拷贝	コピー	Скопировать	copier	Copia 	
									
// Reminder 	// Reminder 	// Reminder 	// Reminder 	// Reminder 	// Reminder 	// Reminder 	// Reminder 	// Reminder 	
    reminder_no_schedule	오늘은 일정이 없습니다	No events today	没有行事歷事件	无事件	本日のイベントはありません	Нет сегодня событий	Aucun événement aujourd'hui 	No hay eventos hoy 	
    reminder_birthday	생일	Birthday	生日	生日	誕生日	День рождения	anniversaire 	Cumpleaños 	
    reminder_event	일정	Event	事件	事件	イベント	Событие	événement 	Evento 	
    reminder_all_day	하루 종일	All-Day	整天	全天	終日	Весь День	Tous les jours 	Todo el día 	
									
// Configure_Info 	// Configure_Info 	// Configure_Info 	// Configure_Info 	// Configure_Info 	// Configure_Info 	// Configure_Info 	// Configure_Info 	// Configure_Info 	
    info_store	상점	Store	商店	商店	ストア	Хранить	magasin 	tienda 	
    info_help	도움말	Help	協助	帮助	ヘルプ	Помощь	aider 	Ayuda 	
    info_credit	크레디트	Credits	制作團隊	制作团队	クレジット	Благодарность	Crédits 	Créditos 	
    info_yooii_connector	유이 커넥터	Yooii Connector	Yooii Connector	Yooii Connector	ユーイのコネクタ	Yooii Connector	Yooii connecteur 	Yooii Conector 	
									
// Tab 	// Tab 	// Tab 	// Tab 	// Tab 	// Tab 	// Tab 	// Tab 	// Tab 	
    tab_widget	패널	PANEL	面板	面板	パネル	Панель	PANNEAU 	PANEL 	
    tab_alarm	알람	ALARM	鬧鐘	闹钟	アラーム	Будильник	ALARME 	ALARMA 	
    tab_setting	설정	Setting	設定	设置	設定	Настройка	Cadre 	ajuste 	
    tab_theme	테마/언어	THEME	主題/語言	主题/语言	テーマ/言語	Тема	THÈME 	TEMA 	
    tab_info	정보	INFO	資訊	信息	情報	Информация	INFO	INFO 	
									
// Setting (General) 	// Setting (General) 	// Setting (General) 	// Setting (General) 	// Setting (General) 	// Setting (General) 	// Setting (General) 	// Setting (General) 	// Setting (General) 	
    setting_language	언어 / Language	Language	語言 / Language	语言 / Language	言語 / Language	Язык / Language	angue	Idioma 	
    setting_widgettable	패널 배열	Panel Matrix	面板方陣	面板方阵	パネル配列	Матрица панели	panneau Matrice	Matrix Panel 	
    setting_theme_color	배경 테마	Theme	主題背景	主题背景	背景テーマ	Тема	thème	tema 	
    setting_theme_color_skyblue	하늘 (하늘색)	Celestial (Sky blue)	天上 (天空藍)	天上（天空蓝）	空 （空色）	Небесный (Голубой)	Céleste (bleu ciel)	Celeste (Celeste) 	
    setting_theme_color_classic_gray	슬레이트 (회색)	Slate (Gray)	石板 (岩石灰)	石板（岩石灰)	スレート （灰色）	Шиферний (Серый)	Slate (Gray)	Pizarra (gris) 	
    setting_theme_color_classic_white	모던 (흰색)	Modernity (Chic white)	摩登 (時尚白)	摩登（典雅白）	モダニティ （白）	Модерний (Шикарний белые)	Modernité (Chic blanc)	Modernidad (blanco Chic) 	
    setting_theme_mirror	투영 (미러모드)	Reflection (Mirror)	投影 (鏡子)	投影（镜子）	投影 （ミラーモード）	Oтражений (Зеркальный)	Réflexion (miroir)	Reflexión (espejo) 	
    setting_theme_scenery	고요함 (투명모드)	Tranquility (Transparent)	寧靜 (透明)	宁静（透明）	穏やか （透過モード）	Спокойствие (Прозрачный)	Tranquillité (Transparent)	Tranquilidad (transparente) 	
    setting_theme_photo	사진	Photo	照片	照片	写真	Фото	photo	foto 	
    setting_theme_photo_portrait	사진 (세로모드)	Photo (Portrait)	照片（縱向)	照片（纵向）	写真（縦画面モード）	Фото (Портрет)	Photos (Portrait)	Foto (Retrato) 	
    setting_theme_photo_landscape	사진 (가로모드)	Photo (Landscape)	照片（橫向）	照片（横向）	写真（横画面モード）	Фото (Пейзаж)	Photo (Paysage)	Foto (Paisaje)	
									
// Setting (Language) 	// Setting (Language) 	// Setting (Language) 	// Setting (Language) 	// Setting (Language) 	// Setting (Language) 	// Setting (Language) 	// Configuration (Language)	// Configuración (Lenguaje) 	
setting_language_korean	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어 	
setting_language_english	English	English	English	English	English	English	Anglais	Inglés 	
setting_language_japanese	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語 	
setting_language_simplified_chinese	简体中文	简体中文	简体中文	简体中文	简体中文	简体中文	简体中文	简体 中文 	
setting_language_traditional_chinese	繁體中文	繁體中文	繁體中文	繁體中文	繁體中文	繁體中文	繁體中文	繁體 中文 	
setting_language_russian	Русский	Русский	Русский	Русский	Русский	Русский	Русский		
setting_language_indonesian	(인도네시아어 본토 표기 필요)	(인도네시아어 본토 표기 필요)	(인도네시아어 본토 표기 필요)	(인도네시아어 본토 표기 필요)	(인도네시아어 본토 표기 필요)	(인도네시아어 본토 표기 필요)	(인도네시아어 본토 표기 필요)		
									
// Setting (Effect sound) 	// Setting (Effect sound) 	// Setting (Effect sound) 	// Setting (Effect sound) 	// Setting (Effect sound) 	// Setting (Effect sound) 	// Setting (Effect sound) 	// Setting (Effect sound) 	// Setting (Effect sound) 	
    setting_effect_sound	효과음	Sound Effects	聲音特效	声音特效	効果音	Звуковой эффект	les effets sonores	Efectos de sonido 	
    setting_effect_sound_on	켜기	On	開	开	オン	Включенный	En	on 	
    setting_effect_sound_off	끄기	Off	關	关	オフ	Выключенный	off	off 	
									
// Tutorial 	// Tutorial 	// Tutorial 	// Tutorial 	// Tutorial 	// Tutorial 	// Tutorial 	// Tutorial 	// Tutorial 	
    tutorial_select_theme	배경화면 선택	Select your Morning Theme	請選擇一個主題背景	请选择一个主题背景	壁紙を選択	Выбрать утренний комплект	Choisissez votre thème Matin 	Seleccione su tema de la mañana 	
									
// Tutorial1 - Description 									
    tutorial1_label1	패널을 설정하거나 재배치 할 수 있습니다	You can customize Panels	您可以重新安排面板	您可以重新安排面板	パネルを編集したり、再配置されます	Вы можете настроить панель	Vous pouvez personnaliser les panneaux 	Puede personalizar los paneles 	
    tutorial1_label2	알람을 추가하거나 편집할 수 있습니다	You can add or edit Alarms	您可以添加或編輯鬧	您可以添加或编辑闹钟	アラームを追加したり、編集されます	Вы можете добавить или изменить будильник	Vous pouvez ajouter ou modifier des alarmes 	Puede agregar o editar Alarmas 	
    tutorial1_label3	밀어서 알람 삭제	Swipe to delete Alarms	滑動刪除鬧鐘	滑动删除闹钟	アラームをスワイプで削除	Проведите пальцем по экрану чтобы удалить будильники	Glissez pour supprimer les alarmes 	Pase eliminar Alarmas 	
    tutorial1_label4	새로고침	Refresh	刷新	刷新	更新	Обновить	rafraîchir 	Actualizar 	
    tutorial1_label5	설정	Settings	設定	设置	設定	Настройка	paramètres 	Ajustes 	
    tutorial1_tap_screen	화면을 터치해 주세요	Tap the screen	點擊屏幕	点击屏幕	画面をタップ	Коснитесь экрана	Appuyez sur l'écran 	Pulse en la pantalla 	
    tutorial1_skip_tutorial	튜토리얼 건너뛰기	Skip Tutorial	跳過教程	跳过教程	チュートリアルをスキップ	Пропустить учебник	Passer Tutoriel 	Saltar Tutorial 	
									
// Unlock 	// Unlock 	// Unlock 	// Unlock 	// Unlock 	// Unlock 	// Unlock 	// Unlock 	// Unlock 	
    unlock_notice	알림	NOTICE	公告	公告	お知らせ	ВНИМАНИЕ	AVIS 	AVISO 	
    unlock_unlocked	사용가능	Unlocked	解鎖	解锁	使用可能	Разблокирован	Débloqué 	desbloqueado 	
    unlock_description	기능을 추가하는 다양한 방법들이 있습니다.물론 무료로도 가능합니다!	There are many ways to unlock this feature. Find a way to enjoy it for free!	找到更多方法免費解鎖並享受新功能!	找到更多方法免费解锁并享受新功能!	機能を追加するさまざまな方法がありますが無料でできます。	Есть много способов для разблокировкий это функции. найди способ насладиться егю бесплатно!	Il existe de nombreuses façons de débloquer cette fonctionnalité. Trouver une façon pour la profiter gratuitement! 	Hay muchas formas de desbloquear esta característica. Encuentre una manera de disfrutar de forma gratuita! 	
    unlock_description_highlight	기능을 추가	unlock	免費解鎖	免费解锁	機能を追加	разблокировкий	débloquer 	desbloquear 	
    unlock_everything	$1.99면 모닝키트의 모든 기능을 사용하실 수 있습니다!	Unlock everything for only $1.99	全部解鎖只要$1.99	全部解锁只要$1.99	$1.99をお支払いいただくとモーニングキットのすべての機能を使用できます！	Разблокировать всё всего за 1.99$	Tout débloquer pour seulement 1.99 $ 	Desbloquear todo por sólo $ 1.99 	
    unlock_everything_highlight	모든 기능	everything	全部	全部	すべて	всё	tous 	todo 	
    unlock_only_this	$0.99면 이 기능을 사용하실 수 있습니다	Unlock for $0.99	解鎖只要$0.99	解锁只要$0.99	$0.99をお支払いいただくと,この機能を使用できます。	Разблокировать за 0.99$	Débloquez pour 0,99 $	Desbloquear $ 0.99 	
    unlock_review	리뷰를 남겨주시면 이 기능을 무료로 사용하실 수 있습니다	Write a Review and unlock it for free!	為此APP評價以獲得此項功能免費解鎖。我們將繼續提供好用新功能!請給我們5顆星!	为此APP评价以获得此项功能免费解锁。我们将继续提供好用新功能!请给我们5颗星!	あなたの評価は貴重なご意見です。レビューを残せば,この機能を使用できます。	Написать отзыв и разблокировать бесплатно!	Écrire un avis et déverrouiller gratuitement!	Comparte tu experiencia y desbloquear de forma gratuita! 	
    unlock_review_highlight	리뷰	Review	評價	评价	レビュー	отзыв	examen	revisión 	
    unlock_connector	유이 커넥터에 가입하시면 이 기능을 무료로 사용하실 수 있습니다	Enable Yooii Connector and unlock it for free!	註冊Yooii Connector並獲得此項功能免費解鎖	注册Yooii Connector并获得此项功能免费解锁	コネクタに登録していただくと, この機能を使用できます。	Активизировать Yooii Connector и разблакировка бесплатная!	Activer Yooii connecteur et déverrouiller gratuitement!	Habilitar Yooii Conector y desbloquear de forma gratuita! 	
    unlock_connector_highlight	유이 커넥터	Yooii Connector	Yooii Connector	Yooii Connector	コネクタ	Yooii Connector	Yooii connecteur	Yooii Conector 	
    unlock_use_morning	모닝키트를 10회 사용하시면 이 기능을 무료로 사용할 수 있습니다	Use Morning Kit 10 times and unlock it for free!	使用早安工具10次並獲得此項功能免費解鎖	使用早安工具10次并获得此项功能免费解锁	モーニングキットを10回使用すると,この機能を使用できます。	Используйте Утренний комплект 10 раз и разблакировка бесплатная!	Kit utilisation Matin 10 fois et déverrouiller gratuitement!	Uso de la mañana Kit 10 veces y desbloquear de forma gratuita! 	
    unlock_use_morning_highlight	10회	10 times	10	10	10回	10 раз	10 heures	10 veces 	
    unlock_facebook	Like 버튼을 눌러 주시면 이 기능을 무료로 사용하실 수 있습니다	Like us on Facebook and unlock it for free!	在Facebook點贊並獲得此項功能免費解鎖	在Facebook点赞并获得此项功能免费解锁	いいねボタンを押していただくと,この機能を使用できます。	Отметьте значком \“Мне нравится\” нашу страницу на Фейсбуке и разблокируйте программу б есплатно	Aimez-nous sur Facebook et déverrouiller gratuitement!	Al igual que nosotros en Facebook y desbloquear de forma gratuita! 	
    unlock_facebook_highlight	Like	Like	贊	赞	いいねボタン	\“Мне нравится\”	Aimer	Al igual que 	
    unlock_twitter	Follow 해 주시면 이 기능을 무료로 사용하실 수 있습니다	Follow us on Twitter and unlock it for free!	在Twitter追踪我們並獲得此項功能免費解鎖	在Twitter追踪我们并获得此项功能免费解锁	フォローボタンを押していただくと,この機能を使用できます。	Следите за нами в Твиттере и  разблакировка бесплатная!	Suivez-nous sur Twitter et déverrouiller gratuitement!	Síguenos en Twitter y desbloquear de forma gratuita! 	
    unlock_twitter_highlight	Follow	Follow	追踪	追踪	フォローボタン	Следите	suivre	siga 	
									
// Store 	// Store 	// Store 	// Store 	// Store 	// Store 	// Store 	// Store 	// Store 	
    store_no_purchase_records	구매 기록이 없습니다	No purchase records	無購買記錄	无购买纪录	購入履歴がありません。	Нет данных о покупках	Pas de dossiers d'achat	No hay registros de compra 	
    store_restore_purchases	구매한 기능 복원	Restore purchases	恢復購買	恢复购买	購入した機能の復元	Восстановить покупки	restaurer les achats	Restaurar compras 	
    store_purchased	구매 완료	Purchased	已購買	已购买	購入完了	Приобретенные	restaurer	Restaurar 	
    store_restore	복원	Restore	恢復	恢复	復元	Восстановить	acheté	comprado 	
    store_restore_success_message	구매 복원 성공	All purchases are restored	恢復購買成功	恢复购买成功	購入復元に成功しました。	Все покупки были восстановлены	Tous les achats sont restaurés	Todas las compras se restauran 	
    store_buy_full_version	풀버전을 구매해 주세요!	Buy the full version!	購買完整版!	购买完整版!	完全版購入	Купить полную версию!	Acheter la version complète!	Comprar la versión completa! 	
